nome,lat,lon
TRENTO,46.061372789623505,11.110789942822938
ROVERETO,45.85836985773819,11.02826628126852
PERGINE VALSUGANA,46.05858478365524,11.233054954494822
RIVA DEL GARDA,45.876969008962924,10.846874013373588
ARCO,45.92312899232595,10.916762697197512
MORI,45.859865876744664,10.957610235580642
LAVIS,46.14169530349912,11.088402538830591
ALA,45.74791755690638,11.040106717352371
LEVICO TERME,45.99664502432704,11.330229557129258
MEZZOLOMBARDO,46.2064151563512,11.090713937184828
BORGO VALSUGANA,46.01495282902706,11.434579649794939
CLES,46.36646966270867,11.018768888175918
PREDAIA,46.305187589623486,11.128965137052317
MEZZOCORONA,46.23048152558837,11.127930302394303
PRIMIERO SAN MARTINO DI CASTROZZA,46.24249103402387,11.826745273293678
VALLELAGHI,46.10067508593819,11.009289073461014
ALTOPIANO DELLA VIGOLANA,45.98714210206566,11.200362138910725
STORO,45.839264047538734,10.566562397043187
PREDAZZO,46.31236252097346,11.642955238066774
AVIO,45.73189304184379,10.919386347130464